Team,Year,Runs,Hits ,Doubles,Triples,Homeruns,RBIS,SBS,BBS,SOS,BA,OBP,SLG,OPS,OPS_PLUS,TB,League,Wins,Loss,Win_Percent
Tampa Bay Rays 22,22,666,1294,296,17,139,634,95,500,1395,0.239,0.309,0.377,0.686,99,2041,American,86,76,0.5308641975
Toronto Blue Jays 22,22,775,1464,307,12,200,756,67,500,1242,0.264,0.329,0.431,0.76,117,2395,American,92,70,0.5679012346
New York Yankees 22,22,807,1308,225,8,254,764,102,620,1391,0.241,0.325,0.426,0.751,112,2311,American,99,63,0.6111111111
Boston Red Sox 22,22,735,1427,352,12,155,704,52,478,1373,0.258,0.321,0.409,0.73,102,2268,American,78,84,0.4814814815
Minnesota Twins 22,22,696,1356,269,18,178,668,38,518,1353,0.248,0.317,0.401,0.718,105,2195,American,78,84,0.4814814815
Detroit Tigers 22,22,557,1240,235,27,110,530,47,380,1413,0.231,0.286,0.346,0.632,82,1859,American,66,96,0.4074074074
Cleveland Guardians 22,22,698,1410,273,31,127,662,119,450,1122,0.254,0.316,0.383,0.699,102,2126,American,92,70,0.5679012346
Chicago White Sox 22,22,686,1435,272,9,149,654,58,388,1269,0.256,0.31,0.387,0.697,97,2172,American,81,81,0.5
Kansas City Royals 22,22,640,1327,247,38,138,613,104,460,1287,0.244,0.306,0.38,0.686,93,2064,American,65,97,0.4012345679
Houston Astros 22,22,737,1341,284,13,214,715,83,528,1179,0.248,0.319,0.424,0.743,111,2293,American,106,56,0.6543209877
Texas Rangers 22,22,707,1308,224,20,198,670,128,456,1446,0.239,0.301,0.395,0.696,96,2166,American,68,94,0.4197530864
Seattle Mariners 22,22,690,1236,229,19,197,663,83,596,1397,0.23,0.315,0.39,0.705,106,2094,American,90,72,0.5555555556
Los Angeles Angels 22,22,623,1265,219,31,190,600,77,449,1539,0.233,0.297,0.39,0.687,93,2116,American,73,89,0.450617284
Oakland Athletics 22,22,568,1147,249,15,137,537,78,433,1389,0.216,0.281,0.346,0.627,84,1837,American,60,102,0.3703703704
Atlanta Braves 21,21,790,1307,269,20,239,762,59,549,1453,0.244,0.319,0.435,0.754,98,2333,National,88,74,0.5432098765
Philadelphia Phillies 21,21,734,1288,262,24,198,700,77,564,1402,0.24,0.318,0.408,0.726,95,2192,National,82,80,0.5061728395
Miami Marlins 21,21,623,1244,226,23,158,594,106,450,1553,0.233,0.298,0.372,0.67,81,1990,National,67,95,0.4135802469
New York Mets 21,21,636,1243,228,18,176,604,54,495,1392,0.239,0.315,0.391,0.706,93,2035,National,77,85,0.475308642
Washington Nationals 21,21,724,1388,272,20,182,686,56,573,1303,0.258,0.337,0.417,0.754,107,2246,National,65,97,0.4012345679
Milwaukee Brewers 21,21,738,1251,255,18,194,700,82,586,1465,0.233,0.317,0.396,0.713,92,2124,National,95,67,0.5864197531
Chicago Cubs 21,21,705,1255,225,26,210,672,86,502,1596,0.237,0.312,0.407,0.719,93,2162,National,71,91,0.4382716049
Cincinnati Reds 21,21,786,1352,295,13,222,756,36,553,1425,0.249,0.328,0.431,0.759,95,2339,National,83,79,0.512345679
Pittsburgh Pirates 21,21,609,1261,240,35,124,570,60,529,1328,0.236,0.309,0.364,0.673,82,1943,National,61,101,0.3765432099
St.Louis Cardinals 21,21,706,1303,261,22,198,678,89,478,1341,0.244,0.313,0.412,0.725,99,2202,National,90,72,0.5555555556
Los Angeles Dodgers 21,21,830,1330,247,24,237,799,65,613,1408,0.244,0.33,0.429,0.759,101,2336,National,106,56,0.6543209877
Arizona Diamondbacks 21,21,679,1297,308,31,144,644,43,537,1465,0.236,0.309,0.382,0.691,87,2099,National,52,110,0.3209876543
San Diego Padres 21,21,729,1305,273,21,180,695,110,586,1324,0.242,0.321,0.401,0.722,101,2160,National,79,83,0.487654321
San Francisco Giants 21,21,804,1360,271,25,241,768,66,602,1461,0.249,0.329,0.44,0.769,107,2404,National,107,55,0.6604938272
Colorado Rockies 21,21,739,1338,275,34,182,709,76,491,1356,0.249,0.317,0.414,0.731,86,2227,National,74,88,0.4567901235
Baltimore Orioles 21,21,659,1296,266,15,195,632,54,451,1454,0.239,0.304,0.402,0.706,92,2177,American,52,110,0.3209876543
